model,dataset,execution,elapsed_time_ms,input_data_amount,average_time_per_input
M1,minsensors_10,1,0.13770222663879395,57,0.002415828537522701
M1,minsensors_10,2,0.04952836036682129,57,0.0008689186029266893
M1,minsensors_10,3,0.05049467086791992,57,0.0008858714187354373
M1,minsensors_10,4,0.04825782775878906,57,0.000846628557171738
M1,minsensors_10,5,0.049185991287231445,57,0.0008629121278461657
M1,minsensors_10,6,0.05106520652770996,57,0.0008958808162756133
M1,minsensors_10,7,0.05124258995056152,57,0.0008989928061502022
M1,minsensors_10,8,0.053003787994384766,57,0.0009298910174453468
M1,minsensors_10,9,0.048136234283447266,57,0.0008444953383060924
M1,minsensors_10,10,0.05013084411621094,57,0.0008794884932668586
M1,minsensors_10,11,0.0485234260559082,57,0.0008512881764194422
M1,minsensors_10,12,0.04931998252868652,57,0.0008652628513804654
M1,minsensors_10,13,0.049024343490600586,57,0.0008600762015894839
M1,minsensors_10,14,0.0518038272857666,57,0.0009088390751888877
M1,minsensors_10,15,0.048441171646118164,57,0.0008498451165985643
M1,minsensors_10,16,0.05136609077453613,57,0.0009011594872725638
M1,minsensors_10,17,0.049680471420288086,57,0.0008715872178997909
M1,minsensors_10,18,0.0496983528137207,57,0.0008719009265565036
M1,minsensors_10,19,0.050516605377197266,57,0.0008862562346876713
M1,minsensors_10,20,0.05022716522216797,57,0.000881178337231017
M1,minsensors_10,21,0.04906129837036133,57,0.0008607245328133566
M1,minsensors_10,22,0.04806780815124512,57,0.0008432948798464056
M1,minsensors_10,23,0.04751873016357422,57,0.0008336619326942845
M1,minsensors_10,24,0.05342364311218262,57,0.0009372568967049581
M1,minsensors_10,25,0.05125689506530762,57,0.0008992437730755722
M1,minsensors_10,26,0.04979968070983887,57,0.0008736786089445415
M1,minsensors_10,27,0.048521995544433594,57,0.0008512630797269052
M1,minsensors_10,28,0.04832267761230469,57,0.0008477662739000822
M1,minsensors_10,29,0.047429800033569336,57,0.0008321017549749007
M1,minsensors_10,30,0.04800844192504883,57,0.0008422533671061198
M1,minsensors_10,31,0.04947066307067871,57,0.00086790636966103
M1,minsensors_10,32,0.05209040641784668,57,0.000913866779260468
M1,minsensors_10,33,0.048491716384887695,57,0.0008507318664015385
M1,minsensors_10,34,0.05076885223388672,57,0.0008906816181383635
M1,minsensors_10,35,0.054444074630737305,57,0.0009551592040480229
M1,minsensors_10,36,0.04904532432556152,57,0.0008604442864133601
M1,minsensors_10,37,0.049398183822631836,57,0.0008666348039058217
M1,minsensors_10,38,0.049983978271484375,57,0.0008769118994997259
M1,minsensors_10,39,0.0488128662109375,57,0.0008563660738760965
M1,minsensors_10,40,0.051157474517822266,57,0.0008974995529442502
M1,minsensors_10,41,0.04847216606140137,57,0.0008503888782701994
M1,minsensors_10,42,0.049210309982299805,57,0.0008633387716192948
M1,minsensors_10,43,0.04859638214111328,57,0.0008525681077388295
M1,minsensors_10,44,0.04785561561584473,57,0.0008395722037867495
M1,minsensors_10,45,0.04798579216003418,57,0.0008418560028076172
M1,minsensors_10,46,0.0498812198638916,57,0.0008751091204191509
M1,minsensors_10,47,0.057175397872924805,57,0.0010030771556653474
M1,minsensors_10,48,0.06625056266784668,57,0.0011622905731201172
M1,minsensors_10,49,0.05224776268005371,57,0.0009166274154395388
M1,minsensors_10,50,0.0485224723815918,57,0.0008512714452910842
M1,minsensors_10,51,0.05005621910095215,57,0.0008781792824728447
M1,minsensors_10,52,0.048409461975097656,57,0.0008492888065806607
M1,minsensors_10,53,0.051322221755981445,57,0.0009003898553680955
M1,minsensors_10,54,0.0478520393371582,57,0.0008395094620554071
M1,minsensors_10,55,0.0477299690246582,57,0.0008373678776255826
M1,minsensors_10,56,0.0507502555847168,57,0.0008903553611353823
M1,minsensors_10,57,0.04830741882324219,57,0.0008474985758463541
M1,minsensors_10,58,0.0504002571105957,57,0.0008842150370279948
M1,minsensors_10,59,0.04953193664550781,57,0.0008689813446580318
M1,minsensors_10,60,0.048986196517944336,57,0.0008594069564551638
M1,minsensors_10,61,0.04720115661621094,57,0.000828090466951069
M1,minsensors_10,62,0.05007195472717285,57,0.0008784553460907518
M1,minsensors_10,63,0.04800295829772949,57,0.0008421571631180612
M1,minsensors_10,64,0.05170845985412598,57,0.0009071659623530873
M1,minsensors_10,65,0.046979665756225586,57,0.0008242046623899226
M1,minsensors_10,66,0.04913163185119629,57,0.0008619584535297594
M1,minsensors_10,67,0.050951480865478516,57,0.0008938856292189213
M1,minsensors_10,68,0.05206727981567383,57,0.0009134610493977865
M1,minsensors_10,69,0.04761815071105957,57,0.0008354061528256065
M1,minsensors_10,70,0.04830765724182129,57,0.0008475027586284437
M1,minsensors_10,71,0.04804730415344238,57,0.0008429351605867085
M1,minsensors_10,72,0.1688234806060791,57,0.002961815449229458
M1,minsensors_10,73,0.05361604690551758,57,0.0009406324018511856
M1,minsensors_10,74,0.05277705192565918,57,0.0009259131916782312
M1,minsensors_10,75,0.05089235305786133,57,0.000892848299260725
M1,minsensors_10,76,0.0501103401184082,57,0.0008791287740071615
M1,minsensors_10,77,0.04939103126525879,57,0.0008665093204431367
M1,minsensors_10,78,0.04811859130859375,57,0.0008441858124314693
M1,minsensors_10,79,0.04699587821960449,57,0.0008244890915720086
M1,minsensors_10,80,0.053878068923950195,57,0.0009452292793675473
M1,minsensors_10,81,0.04827475547790527,57,0.0008469255347000925
M1,minsensors_10,82,0.05181550979614258,57,0.0009090440315112733
M1,minsensors_10,83,0.047676801681518555,57,0.0008364351172196237
M1,minsensors_10,84,0.04904747009277344,57,0.0008604819314521656
M1,minsensors_10,85,0.049826860427856445,57,0.0008741554461027446
M1,minsensors_10,86,0.04761624336242676,57,0.0008353726905688905
M1,minsensors_10,87,0.04778552055358887,57,0.0008383424658524362
M1,minsensors_10,88,0.05138969421386719,57,0.0009015735826994243
M1,minsensors_10,89,0.04853558540344238,57,0.0008515014983060068
M1,minsensors_10,90,0.04734635353088379,57,0.0008306377812435752
M1,minsensors_10,91,0.04791069030761719,57,0.0008405384264494243
M1,minsensors_10,92,0.04877829551696777,57,0.0008557595704731188
M1,minsensors_10,93,0.056717634201049805,57,0.0009950462140535053
M1,minsensors_10,94,0.0534510612487793,57,0.0009377379166452508
M1,minsensors_10,95,0.054761409759521484,57,0.0009607264870091489
M1,minsensors_10,96,0.06097412109375,57,0.0010697214226973685
M1,minsensors_10,97,0.05479073524475098,57,0.0009612409692061575
M1,minsensors_10,98,0.05333399772644043,57,0.0009356841706393057
M1,minsensors_10,99,0.0566105842590332,57,0.0009931681448953193
M1,minsensors_10,100,0.04891800880432129,57,0.0008582106807775665
M1,minsensors_12,1,0.06942868232727051,42,0.001653063864935012
M1,minsensors_12,2,0.0535428524017334,42,0.0012748298190888904
M1,minsensors_12,3,0.053574562072753906,42,0.0012755848112560454
M1,minsensors_12,4,0.049753427505493164,42,0.0011846054167974564
M1,minsensors_12,5,0.04670524597167969,42,0.0011120296659923735
M1,minsensors_12,6,0.04781818389892578,42,0.0011385281880696614
M1,minsensors_12,7,0.05143284797668457,42,0.0012245916184924898
M1,minsensors_12,8,0.05294394493103027,42,0.0012605701174054826
M1,minsensors_12,9,0.052338600158691406,42,0.0012461571466355096
M1,minsensors_12,10,0.0535433292388916,42,0.001274841172354562
M1,minsensors_12,11,0.05298447608947754,42,0.0012615351449875604
M1,minsensors_12,12,0.04799389839172363,42,0.0011427118664696103
M1,minsensors_12,13,0.046739816665649414,42,0.0011128527777535574
M1,minsensors_12,14,0.05046439170837402,42,0.0012015331359136673
M1,minsensors_12,15,0.04950094223022461,42,0.0011785938626243954
