model,min_x,max_x,mean_x,q25_x,q50_x,q75_x,min_y,max_y,mean_y,q25_y,q50_y,q75_y,min_euclidean,max_euclidean,mean_euclidean,q25_euclidean,q50_euclidean,q75_euclidean,loss_mse,accuracy
M1,0.16266155,5.094755,1.7248286,0.6562978625297546,1.4345526695251465,2.6690040826797485,0.09261799,3.9592094,1.31873,0.4533419609069824,1.116204023361206,2.069491982460022,0.2712913,5.343983,2.4161487,1.6272405982017517,2.28744113445282,2.9098129272460938,0.00965978018939495,0.8809523582458496
M2,0.0044813156,7.731614,1.5723299,0.5810222625732422,1.1025207042694092,2.2831737995147705,0.062235832,3.615901,1.0874686,0.4386610984802246,0.8358278274536133,1.523115634918213,0.2318391,8.364851,2.055942,0.9133309721946716,1.7745385766029358,2.7371204495429993,0.008486337959766388,0.8809523582458496
M3,0.07109022,6.0318832,1.6954072,0.7377467155456543,1.4006531238555908,2.3361117839813232,0.18287182,3.917941,1.1834003,0.5212805271148682,0.9338927268981934,1.5754456520080566,0.4094522,6.0505776,2.2633214,1.4239600598812103,2.1490063667297363,3.061095356941223,0.008986559696495533,0.8809523582458496
M4,0.054574966,7.8132067,1.6100849,0.7887779474258423,1.2610396146774292,2.156404972076416,0.006123543,4.1004963,1.057564,0.1862938404083252,0.5702338218688965,1.8528804779052734,0.277025,8.2601,2.1136603,0.9279134571552277,1.9828120470046997,2.577741801738739,0.008951876312494278,0.8333333134651184
M5,0.011492252,7.0286894,1.6051879,0.6944770812988281,1.2058005332946777,2.29150128364563,0.002796173,2.8430586,1.0392889,0.2539684772491455,0.764427661895752,1.777707576751709,0.23050624,7.1875725,2.0766273,1.00470931828022,2.0343732833862305,2.963086724281311,0.008092658594250679,0.8333333134651184
