model,min_x,max_x,mean_x,q25_x,q50_x,q75_x,min_y,max_y,mean_y,q25_y,q50_y,q75_y,min_euclidean,max_euclidean,mean_euclidean,q25_euclidean,q50_euclidean,q75_euclidean,loss_mse,accuracy,loss_d1,loss_d2,accuracy_d1,accuracy_d2
M1,0.023886680603027344,6.6250505447387695,2.698479652404785,1.4945311546325684,2.5219478607177734,3.9425458908081055,0.2762460708618164,5.6428937911987305,1.9526400566101074,1.006791591644287,1.7376184463500977,2.5152883529663086,0.958811342716217,6.974468231201172,3.592498779296875,1.9589014053344727,3.514610528945923,4.650607585906982,0.020301278680562973,0.7894737124443054,,,,
M2,0.013698577880859375,5.625329971313477,1.4520676136016846,0.42449450492858887,1.0364532470703125,2.151029586791992,0.010065078735351562,4.591314315795898,1.1246105432510376,0.32415103912353516,0.8553905487060547,1.5722465515136719,0.352361798286438,7.193873882293701,2.0368354320526123,0.8274630904197693,1.8199065923690796,2.661696434020996,0.008332479745149612,0.8947368264198303,,,,
M3,0.1533222198486328,5.90647029876709,1.7705026865005493,0.8615207672119141,1.490997314453125,2.286630630493164,0.004267692565917969,4.106987953186035,0.9625213742256165,0.32409191131591797,0.6204490661621094,1.4288854598999023,0.30007368326187134,6.008370399475098,2.176004648208618,1.3476649522781372,1.809859275817871,2.512897491455078,0.00836622342467308,0.8771929740905762,,,,
M4,0.02059459686279297,3.275827407836914,1.1768579483032227,0.488189697265625,1.0016107559204102,1.6240110397338867,0.02415180206298828,6.462612152099609,1.220086693763733,0.46315860748291016,0.8637185096740723,1.5341949462890625,0.3346061706542969,6.663540363311768,1.895653247833252,1.0156766176223755,1.5521045923233032,2.4375669956207275,0.0075234356336295605,0.8947368264198303,,,,
M5,0.017490386962890625,7.62384033203125,1.4371410608291626,0.4973635673522949,0.995762825012207,1.7372722625732422,0.004721641540527344,7.125165939331055,1.5106507539749146,0.3297710418701172,1.1380071640014648,2.1835145950317383,0.07463264465332031,10.435081481933594,2.3198866844177246,1.2394189834594727,2.2030563354492188,2.8616886138916016,0.011946138925850391,0.859649121761322,,,,
M6,0.00643203140036519,9.606424428228502,2.4482969678926167,0.7144779908730214,1.954167426822882,3.4638700330195533,0.13751776646315683,7.577826729934812,2.0179322317977406,0.287692861067649,1.665538490464094,2.3346122237688256,0.30428299750615534,12.157912646071907,3.5501530969967625,1.8904486141058552,2.965783457730809,4.325382598297993,0.017023811116814613,0.19298245012760162,,,,
M7,0.013464765379130439,7.272124234432878,1.8531191637456785,0.8251235915926103,1.544321288553773,2.1951652133515456,0.9011710250481997,4.668227428655918,1.5259737759915017,1.1308291518792544,1.1963618362054262,1.3270581328973208,1.1569093347366002,8.641535639380388,2.539074810563423,1.4615515942866844,2.0486696252946426,2.850679606476807,0.021277185529470444,0.38596490025520325,,,,
M8,0.020748199222784258,6.205232762094374,1.891716609128015,0.6573434126303965,1.5425878942040914,2.7927557837946226,0.13751776646315683,7.577826729934812,1.8284362451933012,0.280887441145774,1.815802276780012,2.3112357589250756,0.28842083227908216,7.9774534139229,2.9552152802211005,1.6573954345455952,2.6064604938437,3.6675283730967188,5.768599987030029,,1.2714999914169312,6.8928751945495605,0.719298243522644,0.19298245012760162
