relative_timestamp,timestamp,pos_x,pos_y,pos_z,b827eb4521b4,000000000102,b827eb917e19,b827ebf7d096,b827ebfd7811,000000000101,000000000302,000000000301,000000000402,000000000201,000000000202,000000000401
682.0,1581252479.4767864,11.833377507916666,11.508957972250002,1.8262870117499999,-73,-74,-69,-74,-81,-80.0,-66.0,-69.0,-80.0,-86.0,-60.0,-75.0
686.0,1581252479.930963,11.841060141,11.30546321025,1.8536180422500002,-67,-72,-100,-71,-100,-70.0,-65.0,-100.0,-100.0,-84.0,-66.0,-63.0
691.0,1581252480.3805935,11.848179384571427,11.091383538285713,1.8561793845714287,-71,-70,-100,-71,-100,-75.0,-68.0,-100.0,-100.0,-100.0,-66.0,-69.0
695.0,1581252480.8383386,11.864805240833334,10.861408282749998,1.8515486896666664,-66,-77,-65,-78,-80,-74.0,-76.0,-73.0,-85.0,-74.0,-73.0,-68.0
700.0,1581252481.2903678,11.870999999999999,10.630648819545454,1.842742216727273,-68,-81,-100,-73,-81,-74.0,-71.0,-78.0,-81.0,-85.0,-62.0,-70.0
705.0,1581252481.7485454,11.886969294624999,10.406980271541666,1.8379035080833335,-63,-70,-75,-71,-72,-80.0,-83.0,-79.0,-72.0,-79.0,-69.0,-72.0
709.0,1581252482.2034566,11.893895225833333,10.164741109583334,1.8241047741666667,-68,-79,-70,-71,-86,-77.0,-75.0,-76.0,-74.0,-79.0,-64.0,-59.0
714.0,1581252482.6590118,11.892925682625,9.918398894625,1.8270743173750001,-67,-75,-100,-75,-70,-78.0,-74.0,-100.0,-100.0,-76.0,-100.0,-65.0
718.0,1581252483.114661,11.894077824888889,9.678430699,1.826640725222222,-100,-69,-71,-100,-71,-100.0,-76.0,-76.0,-75.0,-83.0,-69.0,-64.0
723.0,1581252483.564554,11.906,9.435109503444444,1.8304443800000003,-100,-67,-69,-100,-76,-100.0,-70.0,-83.0,-75.0,-74.0,-67.0,-67.0
727.0,1581252484.018451,11.909632426833335,9.173416416583335,1.818264853916667,-69,-76,-64,-85,-71,-80.0,-72.0,-78.0,-75.0,-91.0,-74.0,-62.0
732.0,1581252484.478259,11.9043543605,8.9190775575,1.8235873838333332,-71,-76,-69,-71,-72,-74.0,-71.0,-73.0,-89.0,-75.0,-72.0,-63.0
736.0,1581252484.9381833,11.905728617555555,8.67245616188889,1.8267571276666668,-65,-69,-70,-73,-76,-68.0,-82.0,-100.0,-100.0,-80.0,-100.0,-64.0
741.0,1581252485.39516,11.91191799,8.426576666888888,1.82508201,-100,-86,-72,-100,-79,-100.0,-72.0,-71.0,-76.0,-84.0,-75.0,-78.0
745.0,,,,,-100,-100,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
746.0,1581252485.8471935,11.914963868700001,8.1892284638,1.826,-100,-73,-70,-79,-70,-77.0,-100.0,-79.0,-72.0,-87.0,-75.0,-63.0
750.0,1581252486.300594,11.916053441958335,7.942205630499999,1.8269999999999993,-66,-75,-69,-79,-71,-65.0,-72.0,-73.0,-72.0,-81.5,-77.0,-68.5
755.0,1581252486.7505934,11.923994134416667,7.680140773166666,1.8120117310833335,-66,-80,-74,-77,-74,-82.0,-78.0,-71.0,-72.0,-87.0,-74.0,-74.0
759.0,1581252487.2022667,11.903414068909091,7.421492415636364,1.8267070344545453,-70,-100,-74,-76,-70,-71.0,-72.0,-77.0,-74.0,-77.0,-73.0,-65.0
764.0,1581252487.6550322,11.873982266916665,7.164413113541666,1.8114574462083333,-66,-79,-69,-73,-70,-79.5,-84.0,-76.0,-73.0,-79.0,-80.0,-72.0
768.0,1581252488.1090336,11.775643300874998,6.907330984000001,1.799595603625,-67,-81,-69,-78,-75,-83.0,-78.0,-79.0,-68.0,-82.0,-75.0,-83.0
773.0,1581252488.5603588,11.762607432,6.669697820142858,1.8946177702857143,-69,-75,-76,-100,-100,-72.0,-100.0,-74.0,-76.0,-100.0,-72.0,-100.0
777.0,1581252489.0186253,11.728606832299999,6.4141369551,1.8793590061,-63,-76,-69,-81,-57,-74.0,-81.0,-100.0,-69.0,-78.0,-100.0,-67.0
782.0,1581252489.4737537,11.675291251444445,6.159671981,1.8706660024444446,-65,-74,-74,-100,-100,-100.0,-84.0,-84.0,-69.0,-86.0,-78.0,-68.0
786.0,1581252489.926528,11.901184422125,5.920111557875,1.978340703625,-100,-81,-75,-84,-53,-76.0,-100.0,-100.0,-100.0,-83.0,-81.0,-65.0
791.0,1581252490.380867,11.914832851181819,5.702045106727272,1.9271075745454547,-72,-68,-70,-80,-56,-72.0,-100.0,-76.0,-80.0,-87.0,-80.0,-63.0
795.0,1581252490.8342383,11.89,5.458634864999999,1.8989985759999999,-72,-100,-72,-85,-63,-77.0,-100.0,-75.0,-69.0,-72.0,-89.0,-59.0
800.0,1581252491.2922223,11.8751390378,5.2209511094,1.8841211152,-72,-80,-71,-94,-56,-75.0,-87.0,-83.0,-68.0,-100.0,-76.0,-100.0
805.0,1581252491.7520323,11.868324222,4.9898048772,1.877324222,-70,-70,-100,-82,-100,-70.0,-80.0,-79.0,-72.0,-77.0,-77.0,-61.0
809.0,1581252492.2111115,11.861999999999998,4.7586176998,1.8621949758,-70,-71,-78,-89,-60,-71.0,-100.0,-100.0,-74.0,-72.0,-78.0,-61.0
814.0,1581252492.6647701,11.863010637899999,4.5598414049,1.8519919542,-72,-100,-79,-92,-60,-74.0,-100.0,-85.0,-74.0,-73.0,-76.0,-62.0
818.0,1581252493.1154792,11.864557256181818,4.4166105429090905,1.847442743818182,-71,-82,-77,-91,-61,-68.0,-100.0,-92.0,-73.0,-73.0,-78.0,-61.0
823.0,1581252493.5709486,11.867,4.325103767700001,1.8448475665999997,-76,-83,-71,-83,-60,-68.0,-83.0,-73.0,-67.0,-100.0,-71.0,-100.0
827.0,1581252494.030298,11.867999999999999,4.268217699285715,1.8421705922857143,-71,-69,-100,-100,-100,-71.0,-74.0,-100.0,-100.0,-81.0,-79.0,-67.0
832.0,1581252494.4889002,11.868,4.2327303294545455,1.8410000000000002,-70,-71,-76,-94,-59,-69.0,-100.0,-77.0,-68.0,-82.0,-77.0,-59.0
837.0,1581252494.9479563,11.869,4.211793734454545,1.8422412530454546,-73,-78,-78,-87,-64,-70.0,-100.0,-85.0,-70.0,-71.0,-77.5,-65.0
