timestamp,pos_x,pos_y,pos_z,b827eb4521b4,b827eb917e19,000000000102,000000000101,000000000301,b827ebfd7811,000000000302,000000000202,000000000401,000000000402,b827ebf7d096,000000000201
1581248870.3870757,15.145957332,8.492789506,1.971011378,100,100,100,-77,100,-72,100,100,-57,100,-72,100
1581248871.7522423,15.001111259,8.339333777,1.920997341,-72,100,100,100,-70,-73,-68,100,100,100,100,100
1581248872.668748,14.919,8.218844984,1.986985908,100,-72,100,100,100,100,100,-75,-53,100,-79,100
1581248874.03239,14.800562309,8.362981755,1.921313074,-75,-75,-74,100,100,100,100,100,100,-75,100,100
1581248874.9465616,14.682935291,8.45427327,1.917985565,100,100,100,-81,100,100,-65,-77,-52,100,100,100
1581248876.3078816,14.512529743,8.504225336,1.888016095,-71,-81,100,100,-72,100,100,100,100,-67,100,100
1581248877.2135425,14.333060509,8.180032903,1.898292994,100,-73,-75,-75,100,100,100,100,100,100,100,-81
1581248878.1218038,14.180470639,7.984645261,1.867709478,100,100,100,100,-74,100,-65,-81,100,-77,100,100
1581248879.4783597,14.016347047,8.449586964,1.802371894,-73,-83,100,100,100,100,-70,100,-62,100,100,100
1581248880.3944683,13.974167817,8.527925415,1.812962707,100,100,-80,-81,100,-68,100,100,100,-67,100,100
1581248881.304672,13.904504244,8.535707639,1.819436445,100,100,100,100,-72,100,-68,100,-65,-73,100,100
1581248882.6704524,13.818356014,8.476730661,1.766730661,-70,100,-78,100,100,-68,100,100,100,100,-74,100
1581248883.575452,13.757156488,8.492624864,1.766218648,100,-71,100,100,-70,100,100,-76,100,-69,100,100
1581248884.4906652,13.699772365,8.508445527,1.75616829,100,100,100,100,100,100,-73,-69,-64,100,100,-77
1581248885.8596177,13.577011496,8.510965512,1.759325669,100,100,100,100,100,-69,-69,100,100,-72,-73,100
1581248886.773672,13.478675782,8.520906901,1.761813802,100,100,100,100,100,100,100,-73,-81,-73,100,-80
1581248888.1334326,13.339413319,8.540723996,1.752361998,-73,-69,100,-76,100,100,100,100,100,100,-71,100
1581248889.0466514,13.227425311,8.518336973,1.745668487,100,100,100,100,-75,100,-77,-75,100,-78,100,100
1581248890.4035363,13.085396192,8.505,1.756079238,-73,-72,-79,100,100,100,100,100,100,100,100,-79
1581248891.3166225,13.007,8.520490265,1.746002782,100,100,100,100,-74,-70,-70,100,-68,100,100,100
1581248892.680832,12.852102679,8.521072067,1.749371173,-71,-72,-75,100,100,100,100,100,100,-73,100,100
1581248894.0449142,12.849478816,8.545452781,1.827026035,-73,100,100,100,100,-73,-67,100,100,100,100,-78
1581248894.9539237,12.798726428,8.556188578,1.882995353,100,100,-70,100,100,100,100,100,-68,-77,-73,100
1581248896.3133173,12.721432791,8.509812148,1.947697975,-72,100,-77,-73,100,100,100,100,100,-80,100,100
1581248897.2273302,12.603406355,8.529495541,1.911450948,100,-76,-71,100,100,-71,100,100,100,100,100,-79
1581248898.594314,12.433373578,8.536865603,1.824835992,-71,100,-74,100,-74,100,100,100,-59,100,100,100
1581248899.5145917,12.325705517,8.529741103,1.826,100,100,100,100,-77,100,-69,-80,100,-72,100,100
1581248900.866327,12.150137003,8.521419824,1.818160353,-70,-71,100,-74,100,100,100,100,-61,100,100,100
1581248901.7721288,12.049646767,8.524567164,1.828,100,-68,100,100,100,-74,-72,100,100,100,100,-78
1581248903.13421,11.891332769,8.541916808,1.818541596,-67,-73,100,100,100,-70,100,100,100,100,-82,100
1581248904.048563,11.77579882,8.554891672,1.801030951,100,100,100,100,100,100,-70,-76,-70,-69,100,100
1581248905.4083338,11.631837208,8.569139535,1.821930233,-72,-70,-77,100,100,100,100,100,100,100,-79,100
1581248906.3245711,11.538726248,8.550837589,1.817675178,100,100,100,100,-68,100,-78,-78,100,-79,100,100
1581248907.694928,11.388177794,8.552395242,1.825596828,-65,-72,-73,100,100,100,100,-78,100,100,100,100
1581248908.5976536,11.280671717,8.545883244,1.820116756,100,100,100,100,-68,100,100,100,-65,-67,100,-74
1581248909.9554546,11.093682839,8.560778856,1.814336568,100,-75,100,-72,100,-79,100,100,100,100,-84,100
1581248911.3132365,10.932238105,8.541108842,1.828,-66,100,-76,100,100,100,100,-77,100,-70,100,100
1581248912.2295456,10.825090192,8.539,1.820812919,100,-72,100,-75,100,100,100,100,-76,-66,100,100
1581248913.5886652,10.655005084,8.546065311,1.819733672,-67,100,100,-75,-80,100,100,100,100,100,100,-76
1581248914.944346,10.500964604,8.545407079,1.817864307,100,-74,-72,100,100,-72,-66,100,100,100,100,100
1581248915.8569062,10.384152688,8.549,1.815634543,100,100,-73,100,-71,100,100,100,100,-71,100,-78
1581248917.2201943,10.226174423,8.544234202,1.825970111,100,100,100,-75,100,-82,100,-75,-62,100,100,100
1581248918.590406,10.109613631,8.563662731,1.853569091,100,100,100,-69,100,100,100,-76,-63,-73,100,100
1581248919.5005815,9.961138385,8.57,1.829,100,100,100,100,100,-72,-72,100,-64,-73,100,100
1581248920.8602464,9.770194597,8.573362838,1.814637162,-62,100,-73,100,100,100,100,-70,100,-75,100,100
1581248921.7665098,9.607494729,8.568613876,1.828613876,100,-65,100,100,-66,100,100,-80,-69,100,100,100
1581248923.1302834,9.395993191,8.547880751,1.833,100,100,100,-70,-65,100,100,100,100,-76,100,-73
1581248924.491974,9.117371492,8.466694949,1.78357486,-61,100,100,100,100,100,-69,-75,100,-86,100,100
1581248925.4101372,9.056885623,8.468228755,1.807114377,100,100,-71,-74,-69,100,100,100,100,-76,100,100
1581248926.7782338,8.949462295,8.511307541,1.829346229,100,100,100,-78,100,-73,-71,100,100,100,100,-75
1581248927.6994631,8.863906518,8.511908876,1.834,100,-71,-71,100,100,100,100,-72,-71,100,100,100
1581248928.6173255,8.770091687,8.503,1.835892191,100,100,100,-71,-69,100,-69,100,100,-71,100,100
1581248929.9786737,8.613803239,8.516475428,1.832,-64,-69,100,-69,100,100,100,-68,100,100,100,100
1581248930.8922577,8.514444842,8.527453737,1.82936121,100,100,-71,-75,100,100,-68,100,100,100,-85,100
1581248932.2484524,8.361631192,8.523,1.836592202,-65,100,100,100,100,100,100,-68,-63,-74,100,100
1581248933.160198,8.258867717,8.512825394,1.841,100,-68,-72,-74,100,100,100,-72,100,100,100,100
1581248934.0697153,8.148806615,8.49337642,1.831107549,100,100,100,100,100,100,100,-73,-77,-72,100,-74
1581248935.4349809,7.986661036,8.494195416,1.834804584,100,100,-72,-73,-75,100,100,100,-70,100,100,100
1581248936.7883463,7.814526784,8.505036272,1.838309152,-66,100,100,100,100,100,-69,100,100,100,-83,-71
1581248937.7039902,7.708115466,8.501947969,1.847687812,100,-69,100,100,-70,-75,-67,100,100,100,100,100
1581248938.6189978,7.596009431,8.491467815,1.84405494,100,100,100,100,-70,100,100,-78,-67,-74,100,100
1581248939.9843245,7.405600785,8.499,1.844637353,-62,-66,100,100,100,100,-70,100,100,100,100,-74
1581248940.9037018,7.275950612,8.498,1.845650204,100,100,100,-77,100,-79,100,100,100,-76,-79,100
1581248942.2632003,7.108743088,8.515434574,1.839869149,-66,100,100,-75,100,100,-70,100,-74,100,100,100
1581248943.175891,6.97639261,8.509256791,1.837716045,100,100,100,100,100,-83,100,100,-79,-80,-81,100
1581248944.5348916,6.781377141,8.509007143,1.838,-69,100,100,100,100,-78,-83,100,100,100,100,-84
1581248945.4514606,6.676437101,8.50786887,1.845262261,100,-75,-65,100,100,100,100,-78,100,-80,100,100
1581248946.812252,6.613847528,8.585722692,1.864031209,-64,-71,-73,100,100,-77,100,100,100,100,100,100
1581248947.7263644,6.584876654,8.691561673,1.881297909,100,100,100,100,-67,100,-75,-79,-69,100,100,100
1581248949.0867338,6.455139667,8.694643854,1.850427375,-72,-67,-72,100,100,100,100,-79,100,100,100,100
1581248949.9973817,6.374516605,8.677235968,1.857707904,100,100,100,100,100,-81,-70,100,-74,-77,100,100
1581248951.3591616,6.222508857,8.620037976,1.90158481,-67,-71,100,-73,100,100,100,100,100,100,100,-77
1581248952.270729,6.126519862,8.592077816,1.860584437,100,100,100,100,100,-85,100,100,-68,-74,100,-76
1581248953.6405084,5.885684343,8.634380254,1.859349788,-65,100,100,100,-73,100,-70,100,100,100,-87,100
1581248954.5448596,5.771982256,8.618,1.859607098,100,-61,-74,-67,-72,100,100,100,100,100,100,100
1581248955.4578464,5.613812112,8.65044297,1.862704687,100,100,100,100,100,-83,-71,100,-68,100,100,-69
1581248956.8134823,5.447557318,8.65069126,1.868161179,100,-59,-64,100,-69,100,100,-71,100,100,100,100
1581248957.7283435,5.308004928,8.672748152,1.862418104,100,100,100,-73,100,100,100,-65,-67,-74,100,100
1581248959.0869317,5.130836174,8.675282488,1.856,100,100,-70,100,-68,-77,100,100,100,100,100,-66
1581248959.9960043,5.000218597,8.678554649,1.858406199,100,-71,100,-74,100,100,100,100,100,100,-81,-67
1581248961.3561704,4.751037072,8.62204531,1.84195057,-62,100,100,-77,100,100,100,-69,100,-76,100,100
1581248962.2668278,4.592148216,8.607925892,1.810308631,100,-72,-68,100,100,100,-77,-67,100,100,100,100
1581248963.6228845,4.402516981,8.61059554,1.803291938,-67,100,100,100,100,-77,100,100,100,100,-84,-71
1581248964.5342643,4.316885515,8.647626182,1.863572424,100,100,-63,100,-74,100,100,-78,100,-77,100,100
1581248965.8942685,4.214494305,8.650995444,1.810255125,-63,100,100,100,100,-88,100,100,100,-83,-85,100
1581248966.7992966,4.174851956,8.578296439,1.836481494,100,-69,-68,100,100,100,100,-75,-69,100,100,100
1581248968.1570168,4.014739044,8.543931702,1.842633537,-72,-67,100,100,100,100,100,100,100,-80,100,-75
1581248969.0673032,3.822174783,8.579352876,1.837705753,100,100,-76,-62,-78,100,100,100,-68,100,100,100
1581248970.42503,3.560195529,8.087899447,1.83465363,-67,100,100,100,-71,100,-78,100,100,100,100,-85
1581248971.3410957,3.36651605,8.401197002,1.78516702,100,-67,-68,-68,100,100,100,100,100,100,-79,100
1581248972.2597785,3.291692774,8.527887395,1.836,100,100,100,100,-75,100,100,-76,100,-78,100,-71
1581248973.622521,3.117127747,8.526709249,1.837,-72,-70,-74,-67,100,100,100,100,100,100,100,100
1581248974.5357258,2.978835559,8.511622924,1.840622924,100,100,100,100,-79,-82,-75,-77,100,100,100,100
1581248975.8927977,2.805366835,8.517561139,1.847585148,100,100,100,100,-76,-86,100,-77,100,100,100,-76
1581248977.2618625,2.611945279,8.505820311,1.832179689,100,100,100,100,100,-83,-78,100,-71,100,-82,100
1581248978.1690736,2.495452273,8.511770321,1.819770321,-67,-65,-64,-68,100,100,100,100,100,100,100,100
1581248979.53011,2.302117891,8.514715234,1.847541719,-74,100,100,100,-75,100,100,-78,100,-75,100,100
1581248980.4357877,2.147676001,8.508477043,1.849522957,100,-67,-68,100,-75,100,100,100,100,100,-82,100
1581248981.3477871,1.989116398,8.501332644,1.852,100,100,100,100,100,100,-75,100,-65,-73,100,-77
1581248982.7059152,1.77277869,8.500699615,1.850320154,100,100,100,-69,100,-80,-77,100,100,100,-84,100
1581248984.0719514,1.598739021,8.481842378,1.850842378,-68,100,-68,100,100,-85,100,-82,100,100,100,100
1581248984.9837885,1.459260605,8.482322944,1.833677056,100,-74,100,-69,100,100,100,-69,100,100,-82,100
1581248986.3547456,1.232565754,8.482543425,1.843543425,-74,100,100,100,-77,100,100,100,-73,-75,100,100
1581248987.273826,1.091513125,8.490643993,1.821418854,100,-70,100,100,100,-85,100,-71,100,100,100,-71
1581248988.635898,0.8831212,8.473057714,1.839976914,-74,100,100,100,100,-82,100,100,100,100,-82,-72
1581248989.5522304,0.719346434,8.476852065,1.842147935,100,100,-63,100,-78,100,100,-77,100,-75,100,100
1581248990.9180975,0.466721682,8.510953614,1.865430421,-73,-71,100,-72,100,100,100,100,-69,100,100,100
1581248991.8341825,0.301292648,8.500212085,1.850868479,100,100,-59,100,-71,100,100,100,-71,-72,100,100
