timestamp,pos_x,pos_y,pos_z,b827ebfd7811,000000000402,b827ebf7d096,000000000202,000000000201,000000000301,000000000401,b827eb4521b4,000000000101,000000000102,000000000302,b827eb917e19
1569304552.553964,0.16,15.33,1.85,-81,-78,-80,-74,-70,-80,-79,-70,-77,-77,-77,-70
1569304558.01893,0.16,15.33,1.85,-80,-77,-81,-74,-66,-86,-76,-73,-78,-72,-86,-75
1569304561.648916,0.16,15.33,1.85,-80,-75,-81,-73,-63,-86,-78,-70,-71,-72,-77,-72
1569304569.829152,0.16,15.33,1.85,-80,-78,-80,-75,-70,-86,-76,-70,-85,-77,-77,-70
1569304571.666083,0.16,15.33,1.85,-81,-75,-82,-73,-63,-76,-78,-76,-70,-75,-86,-77
1569304573.489848,0.16,15.33,1.85,-83,-75,-82,-73,-63,-82,-83,-76,-71,-77,-77,-72
1569304582.5860467,0.16,15.33,1.85,-80,-75,-83,-73,-70,-86,-78,-70,-71,-77,-77,-72
1569304584.421854,0.16,15.33,1.85,-80,-77,-81,-74,-63,-77,-79,-77,-78,-77,-86,-74
1569304588.0471687,0.16,15.33,1.85,-80,-74,-82,-73,-67,-82,-79,-71,-71,-77,-77,-74
1569304589.870108,0.16,15.33,1.85,-80,-75,-82,-73,-63,-77,-79,-83,-71,-79,-77,-74
1569304594.407104,0.16,15.33,1.85,-80,-74,-82,-73,-67,-82,-79,-70,-70,-77,-77,-75
1569304597.142801,0.16,15.33,1.85,-81,-75,-82,-70,-63,-74,-78,-76,-71,-77,-82,-75
1569304598.970817,0.16,15.33,1.85,-80,-75,-82,-73,-63,-78,-80,-76,-71,-75,-77,-72
1569304608.507142,0.16,15.33,1.85,-81,-78,-82,-74,-62,-75,-76,-76,-85,-72,-86,-79
1569304610.329188,0.16,15.33,1.85,-80,-78,-81,-73,-70,-86,-79,-70,-71,-77,-77,-69
1569304614.4175527,0.16,15.33,1.85,-81,-77,-81,-74,-63,-74,-78,-76,-85,-77,-85,-70
1569304616.2476847,0.16,15.33,1.85,-81,-74,-82,-74,-63,-76,-76,-76,-85,-72,-86,-77
1569304623.082658,0.16,15.33,1.85,-79,-77,-80,-74,-67,-82,-79,-70,-71,-77,-77,-69
1569304629.900142,0.16,15.33,1.85,-86,-75,-82,-73,-70,-86,-79,-70,-71,-77,-77,-72
1569304636.734608,0.16,15.33,1.85,-81,-78,-80,-74,-66,-82,-79,-70,-78,-77,-77,-69
1569304641.74059,0.16,15.33,1.85,-81,-78,-80,-74,-66,-86,-79,-70,-71,-77,-77,-70
1569304645.374574,0.16,15.33,1.85,-80,-78,-80,-74,-62,-80,-76,-71,-85,-77,-77,-70
1569304653.095118,0.16,15.33,1.85,-80,-74,-83,-74,-63,-76,-80,-90,-85,-77,-87,-77
1569304654.918078,0.16,15.33,1.85,-80,-78,-80,-74,-63,-86,-79,-70,-78,-77,-77,-69
1569304661.7275107,0.16,15.33,1.85,-81,-76,-80,-74,-62,-74,-76,-76,-85,-72,-86,-79
1569304669.91348,0.16,15.33,1.85,-81,-75,-82,-73,-70,-85,-78,-70,-71,-77,-87,-70
1569304678.113459,0.16,15.33,1.85,-80,-75,-82,-73,-67,-82,-79,-73,-71,-77,-82,-74
1569304681.740244,0.16,15.33,1.85,-83,-76,-81,-71,-62,-74,-76,-76,-85,-72,-77,-79
1569304685.376284,0.16,15.33,1.85,-80,-75,-82,-73,-63,-78,-79,-76,-71,-77,-77,-72
1569304687.1950047,0.16,15.33,1.85,-80,-75,-82,-73,-70,-86,-78,-70,-71,-77,-76,-70
1569304690.83706,0.16,15.33,1.85,-81,-77,-82,-73,-63,-77,-79,-89,-71,-77,-77,-74
1569304694.489386,0.16,15.33,1.85,-80,-75,-82,-73,-70,-86,-79,-70,-71,-77,-76,-72
1569304702.645166,0.16,15.33,1.85,-81,-77,-80,-74,-62,-86,-78,-70,-85,-77,-77,-69
1569304706.280359,0.16,15.33,1.85,-81,-74,-82,-71,-70,-85,-79,-73,-71,-72,-85,-77
1569304708.558325,0.16,15.33,1.85,-80,-77,-82,-73,-70,-77,-78,-73,-71,-72,-86,-74
1569304716.74629,0.16,15.33,1.85,-80,-77,-81,-74,-62,-76,-76,-73,-85,-77,-77,-72
1569304719.93535,0.16,15.33,1.85,-81,-74,-82,-73,-67,-78,-79,-82,-71,-77,-87,-77
1569304722.653059,0.16,15.33,1.85,-80,-77,-81,-74,-62,-80,-76,-71,-71,-77,-77,-74
1569304728.575082,0.16,15.33,1.85,-81,-74,-82,-75,-63,-74,-80,-76,-84,-75,-86,-77
1569304734.483248,0.16,15.33,1.85,-83,-74,-82,-71,-63,-77,-82,-76,-71,-79,-86,-77
1569304738.106832,0.16,15.33,1.85,-80,-76,-81,-74,-62,-74,-76,-76,-85,-77,-82,-70
1569304741.738201,0.16,15.33,1.85,-79,-75,-82,-73,-70,-86,-79,-70,-71,-77,-77,-72
1569304744.464403,0.16,15.33,1.85,-84,-75,-82,-74,-63,-78,-77,-76,-71,-77,-77,-74
1569304756.739106,0.16,15.33,1.85,-81,-77,-82,-73,-62,-86,-79,-70,-71,-75,-77,-70
1569304758.562119,0.16,15.33,1.85,-81,-78,-80,-74,-63,-82,-76,-70,-85,-77,-77,-70
1569304760.36942,0.16,15.33,1.85,-84,-72,-80,-74,-62,-74,-76,-76,-85,-72,-86,-80
1569304763.091359,0.16,15.33,1.85,-80,-78,-81,-74,-66,-86,-76,-70,-71,-77,-77,-70
1569304771.286068,0.16,15.33,1.85,-80,-74,-82,-74,-63,-76,-76,-76,-85,-77,-86,-77
1569304777.1890388,0.16,15.33,1.85,-79,-77,-81,-73,-66,-86,-79,-70,-71,-77,-77,-70
1569304782.627485,0.16,15.33,1.85,-86,-74,-82,-72,-63,-77,-82,-75,-71,-74,-86,-80
1569304785.822124,0.16,15.33,1.85,-80,-77,-81,-73,-63,-86,-79,-70,-71,-77,-77,-74
1569304787.640485,0.16,15.33,1.85,-81,-74,-82,-74,-63,-76,-78,-76,-84,-77,-86,-75
1569304790.3630047,0.16,15.33,1.85,-80,-77,-80,-74,-66,-76,-78,-76,-78,-77,-77,-70
1569304793.100978,0.16,15.33,1.85,-80,-77,-81,-73,-67,-86,-79,-70,-71,-77,-77,-72
1569304795.828854,0.16,15.33,1.85,-82,-76,-82,-73,-67,-78,-79,-76,-71,-77,-77,-74
1569304797.658949,0.16,15.33,1.85,-80,-77,-82,-73,-67,-86,-79,-70,-71,-77,-77,-72
1569304800.843029,0.16,15.33,1.85,-81,-74,-82,-73,-63,-76,-78,-76,-78,-72,-86,-79
1569304806.287892,0.16,15.33,1.85,-79,-77,-81,-73,-66,-86,-79,-70,-71,-77,-76,-70
1569304820.3993907,0.16,15.33,1.85,-86,-73,-82,-68,-63,-77,-83,-76,-69,-77,-86,-79
1569304824.953029,0.16,15.33,1.85,-81,-77,-81,-74,-62,-80,-76,-70,-85,-77,-77,-70
1569304828.610895,0.16,15.33,1.85,-81,-77,-82,-73,-63,-77,-79,-76,-71,-77,-76,-72
1569304832.695398,0.16,15.33,1.85,-81,-77,-81,-73,-63,-86,-78,-70,-71,-77,-77,-70
1569304836.334274,0.16,15.33,1.85,-80,-75,-82,-73,-63,-77,-79,-76,-71,-72,-86,-74
1569304838.162809,0.16,15.33,1.85,-81,-76,-82,-74,-63,-76,-76,-75,-84,-77,-82,-74
1569304844.520817,0.16,15.33,1.85,-81,-74,-82,-74,-63,-76,-78,-76,-85,-72,-77,-79
1569304852.695747,0.16,15.33,1.85,-81,-78,-81,-74,-62,-86,-76,-71,-85,-77,-77,-70
1569304857.7117507,0.16,15.33,1.85,-81,-77,-82,-73,-62,-77,-79,-88,-70,-77,-77,-72
1569304859.520818,0.16,15.33,1.85,-87,-73,-82,-68,-63,-77,-84,-76,-68,-76,-87,-79
1569304861.345801,0.16,15.33,1.85,-80,-78,-81,-74,-63,-86,-78,-70,-78,-77,-77,-70
1569304871.369662,0.16,15.33,1.85,-80,-74,-82,-73,-63,-76,-79,-76,-70,-75,-86,-77
1569304877.744749,0.16,15.33,1.85,-80,-77,-82,-73,-67,-77,-79,-76,-71,-77,-76,-72
1569304889.102828,0.16,15.33,1.85,-81,-77,-81,-73,-63,-77,-79,-70,-70,-77,-77,-72
1569304895.942556,0.16,15.33,1.85,-81,-75,-82,-73,-63,-78,-78,-76,-71,-77,-87,-75
1569304897.77256,0.16,15.33,1.85,-80,-75,-82,-73,-67,-77,-79,-76,-71,-77,-77,-74
1569304899.59357,0.16,15.33,1.85,-80,-77,-81,-73,-63,-78,-79,-75,-71,-79,-76,-74
1569304901.421536,0.16,15.33,1.85,-81,-77,-82,-73,-63,-77,-79,-76,-71,-78,-77,-72
1569304903.249568,0.16,15.33,1.85,-81,-77,-82,-74,-63,-76,-78,-73,-71,-77,-77,-74
1569304907.33087,0.16,15.33,1.85,-80,-78,-80,-74,-62,-74,-76,-71,-85,-77,-77,-70
1569304908.690871,0.16,15.33,1.85,-87,-73,-82,-68,-63,-77,-84,-76,-68,-76,-87,-79
1569304911.866567,0.16,15.33,1.85,-81,-74,-82,-74,-63,-74,-78,-76,-85,-75,-87,-79
1569304917.327489,0.16,15.33,1.85,-80,-77,-80,-74,-62,-80,-78,-70,-71,-77,-77,-70
1569304920.9594867,0.16,15.33,1.85,-81,-77,-82,-73,-63,-81,-78,-76,-71,-72,-77,-74
1569304923.234746,0.16,15.33,1.85,-83,-74,-82,-74,-63,-74,-79,-75,-85,-72,-85,-79
1569304930.048492,0.16,15.33,1.85,-80,-78,-80,-73,-62,-82,-76,-70,-71,-77,-77,-69
1569304932.33142,0.16,15.33,1.85,-81,-77,-82,-73,-63,-77,-79,-76,-70,-77,-77,-72
1569304941.424476,0.16,15.33,1.85,-81,-74,-82,-73,-63,-76,-78,-76,-78,-77,-86,-77
