timestamp,pos_x,pos_y,pos_z,000000000101,000000000102,000000000201,000000000202,000000000301,000000000302,000000000401,000000000402,b827eb4521b4,b827eb917e19,b827ebf7d096,b827ebfd7811
1581249601.4120204,18.031,8.465,1.816,-85.0,-78.0,-86.0,-77.0,-74.0,-74.0,-69.0,-76.0,-87.0,-78.0,-79.0,-77.0
1581249601.866811,18.0296149299,8.46507662,1.82192338,-78.0,-89.0,-80.0,-74.0,-68.0,-71.0,-64.0,-74.0,-72.0,-76.0,-78.0,-77.0
1581249602.321073,18.024109860636365,8.465219720999999,1.8282084657272728,-82.0,-81.0,-85.0,-82.0,-69.0,-70.0,-66.0,-74.0,-73.0,-76.0,-77.0,-74.0
1581249602.7766511,18.014758156090902,8.456255826,1.8434976694545453,-84.0,-79.0,-84.0,-80.0,-76.0,-80.0,-62.0,-76.0,-76.0,-74.0,-82.0,-74.0
1581249603.2317832,17.96418270111111,8.446045675222223,1.8589543247777776,-86.0,-79.0,-76.0,-77.0,-79.0,-63.0,-61.0,-75.0,-75.0,-73.0,-78.0,-72.0
1581249603.6898468,17.928396842916666,8.444950394666668,1.82749605375,-77.0,-86.0,-74.0,-77.0,-72.0,-71.0,-60.0,-68.0,-81.0,-79.0,-77.0,-77.0
1581249604.1478438,17.9043984847,8.441650378899999,1.8154473482,-80.0,-84.0,-80.0,-76.0,-72.0,-78.0,-64.0,-75.0,-74.0,-75.0,-80.0,-77.0
1581249604.6020806,17.891029513,8.443970487000001,1.793706017375,-82.0,-80.0,-82.0,-82.0,-71.0,-73.0,-64.0,-75.0,-75.0,-75.0,-85.0,-73.0
1581249605.0526595,17.883075119249998,8.44792488075,1.783037559625,-83.0,-82.0,-82.0,-82.0,-72.0,-73.0,-63.0,-74.0,-76.0,-76.0,-83.0,-72.0
1581249605.5103965,17.879,8.461265311,1.8227822968571428,-83.0,-78.0,-78.0,-75.0,-77.0,-76.0,-71.0,-73.0,-74.0,-74.0,-82.0,-71.0
1581249605.9660895,17.878701743272728,8.446894769909091,1.8620000000000003,-79.0,-79.0,-78.0,-79.0,-82.0,-63.0,-66.0,-69.0,-86.0,-73.0,-81.0,-73.0
1581249606.4184375,17.878,8.44340505388889,1.859594946111111,-86.0,-76.0,-73.0,-77.0,-72.0,-68.0,-62.0,-68.0,-76.0,-77.0,-78.0,-72.0
1581249606.8708026,17.876,8.459767874384616,1.854,-77.0,-80.0,-76.0,-85.0,-72.0,-68.0,-70.0,-78.0,-79.0,-80.0,-91.0,-70.0
1581249607.3280292,17.859876203099994,8.437691567399998,1.8415677703,-77.0,-78.0,-77.0,-75.0,-68.0,-74.0,-67.0,-82.0,-71.0,-79.0,-76.0,-76.0
1581249607.7871351,17.8099541221,8.444741397800001,1.8425057347,-79.0,-72.0,-77.0,-77.0,-78.0,-77.0,-62.0,-70.0,-80.0,-86.0,-76.0,-73.0
1581249608.2442358,17.7353249268,8.4311861192,1.8519768654,-87.0,-79.0,-89.0,-86.0,-72.0,-70.0,-65.0,-71.0,-74.0,-75.0,-77.0,-78.0
1581249608.6966536,17.64100847545455,8.43205391118182,1.8589724591818184,-71.0,-75.0,-84.0,-78.0,-73.0,-69.0,-61.0,-73.0,-73.0,-79.0,-80.0,-76.0
1581249609.1552968,17.5412988759,8.430511062799999,1.8479151252,-82.0,-78.0,-79.0,-79.0,-76.0,-60.0,-61.0,-74.0,-71.0,-76.0,-73.0,-76.0
1581249609.6145356,17.4408183665,8.4163453068,1.8494690613,-81.0,-72.0,-81.0,-76.0,-86.0,-74.0,-69.0,-73.0,-76.0,-78.0,-71.0,-72.0
1581249610.067382,17.33191282209091,8.469946272181817,1.8330960035454549,-78.0,-78.0,-78.0,-77.0,-73.0,-67.0,-65.0,-74.0,-78.0,-87.0,-74.0,-73.0
1581249610.5198476,17.225127056444443,8.422867930666666,1.8330440231111116,-78.0,-77.0,-80.0,-84.0,-79.0,-74.0,-72.0,-79.0,-78.0,-82.0,-78.0,-73.0
1581249610.9722311,17.111156086454546,8.42172801390909,1.824603960272727,-78.0,-80.0,-85.0,-81.0,-73.0,-68.0,-59.0,-69.0,-70.0,-77.0,-79.0,-74.0
1581249611.4311469,16.98485087,8.461277961916666,1.8224440763333332,-80.0,-85.0,-75.0,-77.0,-71.0,-66.0,-62.0,-75.0,-79.0,-77.0,-75.0,-71.0
1581249611.8902917,16.86564996909091,8.422692260363634,1.8320884828181816,-78.0,-78.0,-79.0,-81.0,-75.0,-73.0,-65.0,-77.0,-81.0,-88.0,-75.0,-77.0
1581249612.3409996,16.7512756262,8.376765375799998,1.8414413439,-72.0,-71.0,-83.0,-82.0,-78.0,-77.0,-59.0,-70.0,-71.0,-90.0,-75.0,-72.0
1581249612.79214,16.639984463555557,8.405918619111112,1.845794574555556,-80.0,-73.0,-80.0,-74.0,-79.0,-72.0,-67.0,-69.0,-77.0,-78.0,-69.0,-72.0
1581249613.24475,16.5226123166,8.4578311384,1.8439647561,-74.0,-73.0,-80.0,-79.0,-74.0,-64.0,-64.0,-67.0,-75.0,-76.0,-82.0,-78.0
1581249613.6992586,16.39782932254545,8.493515767636366,1.843053803545455,-78.0,-76.0,-83.0,-76.0,-69.0,-78.0,-71.0,-74.0,-79.0,-71.0,-75.0,-73.0
1581249614.1552374,16.235675664400002,8.4811554021,1.8478952709,-76.0,-78.0,-82.0,-83.0,-77.0,-74.0,-59.0,-72.0,-75.0,-72.0,-78.0,-76.0
1581249614.6100788,16.077013635916664,8.478309199166667,1.8547495675833328,-83.0,-74.0,-80.0,-80.0,-70.0,-67.0,-51.0,-78.0,-72.0,-73.0,-73.0,-72.0
