real_x,real_y,predicted_x,predicted_y,deviation_x,deviation_y,eclidean_distance
17.928231484,8.444971065,9.557087363563511,8.670067333748259,8.37114412043649,0.22509626874825805,8.374169941870228
17.11069662,8.421653506,15.148602594641577,9.057307921593722,1.9620940253584216,0.6356544155937218,2.0624910909894885
16.076543975,8.478320382,9.557087447804852,8.670067318778479,6.519456527195148,0.19174693677847898,6.522275699305523
14.927066876,8.251693906,12.99338608773542,7.913707414758031,1.9336807882645797,0.3379864912419688,1.962996754751669
14.121871945,8.18799733,12.210396361918983,5.341086632661646,1.9114755830810175,2.8469106973383536,3.429087258051983
13.060771975,8.532782166,12.502916314222045,10.459723173426843,0.557855660777955,1.9269410074268425,2.006066944138501
12.524882132,8.562207858,11.881779273098676,11.681346889316538,0.6431028589013241,3.1191390313165375,3.184746392385008
11.533567744,8.586,12.713616222904568,9.237955650965727,1.1800484789045669,0.6519556509657267,1.3481693452200751
10.938537798,8.575213445,12.713616222904568,9.237955650965727,1.7750784249045672,0.6627422059657277,1.8947640080310788
9.704791888,8.577074656,12.975782961946047,10.272927653946164,3.270991073946046,1.6958529979461634,3.684467396582266
8.478181735,8.53510671,9.559414230047363,3.194939900691733,1.081232495047363,5.340166809308268,5.448526888947507
7.789280209,8.524781189,11.597993769025326,5.819922324812593,3.8087135600253257,2.7048588641874076,4.671462346791846
7.113419858,8.534,12.975782963200707,10.272927659308055,5.862363105200707,1.7389276593080538,6.114832015805918
5.618958827,8.677501716,3.6187601815347956,9.22842714111365,2.0001986454652045,0.5509254251136504,2.074683938665718
4.228324662,8.593126563,5.531087440304903,5.867728994612665,1.3027627783049027,2.7253975683873355,3.020758640194266
2.874872843,8.558531457,5.531087454971044,5.867728997213467,2.6562146119710444,2.690802459786534,3.780991132288166
1.999233754,8.541251477,9.236629481441476,9.107645716585674,7.237395727441475,0.5663942395856747,7.2595247330816335
0.27266737,8.448,9.245925988657262,9.350498199016263,8.973258618657262,0.9024981990162626,9.018529438690901
